"UserID";"Username";"Email";"PasswordHash";"PhoneNumber";"Address";"CreatedAt"
1;"User1";"user1@example.com";"hashedpassword1";"9876543201";"1 Example Street, City1";"2024-11-27 23:25:59"
2;"User2";"user2@example.com";"hashedpassword2";"9876543202";"2 Example Street, City2";"2024-11-27 23:25:59"
3;"User3";"user3@example.com";"hashedpassword3";"9876543203";"3 Example Street, City3";"2024-11-27 23:25:59"
4;"User4";"user4@example.com";"hashedpassword4";"9876543204";"4 Example Street, City4";"2024-11-27 23:25:59"
5;"User5";"user5@example.com";"hashedpassword5";"9876543205";"5 Example Street, City5";"2024-11-27 23:25:59"
6;"User6";"user6@example.com";"hashedpassword6";"9876543206";"6 Example Street, City6";"2024-11-27 23:25:59"
7;"User7";"user7@example.com";"hashedpassword7";"9876543207";"7 Example Street, City7";"2024-11-27 23:25:59"
8;"User8";"user8@example.com";"hashedpassword8";"9876543208";"8 Example Street, City8";"2024-11-27 23:25:59"
9;"User9";"user9@example.com";"hashedpassword9";"9876543209";"9 Example Street, City9";"2024-11-27 23:25:59"
10;"User10";"user10@example.com";"hashedpassword10";"9876543210";"10 Example Street, City10";"2024-11-27 23:25:59"
11;"User11";"user11@example.com";"hashedpassword11";"9876543211";"11 Example Street, City11";"2024-11-27 23:25:59"
12;"User12";"user12@example.com";"hashedpassword12";"9876543212";"12 Example Street, City12";"2024-11-27 23:25:59"
13;"User13";"user13@example.com";"hashedpassword13";"9876543213";"13 Example Street, City13";"2024-11-27 23:25:59"
14;"User14";"user14@example.com";"hashedpassword14";"9876543214";"14 Example Street, City14";"2024-11-27 23:25:59"
15;"User15";"user15@example.com";"hashedpassword15";"9876543215";"15 Example Street, City15";"2024-11-27 23:25:59"
16;"User16";"user16@example.com";"hashedpassword16";"9876543216";"16 Example Street, City16";"2024-11-27 23:25:59"
17;"User17";"user17@example.com";"hashedpassword17";"9876543217";"17 Example Street, City17";"2024-11-27 23:25:59"
18;"User18";"user18@example.com";"hashedpassword18";"9876543218";"18 Example Street, City18";"2024-11-27 23:25:59"
19;"User19";"user19@example.com";"hashedpassword19";"9876543219";"19 Example Street, City19";"2024-11-27 23:25:59"
20;"User20";"user20@example.com";"hashedpassword20";"9876543220";"20 Example Street, City20";"2024-11-27 23:25:59"
